issn|area|titulo|estrato|classificacao
0926-6410|CIÊNCIA DA COMPUTAÇÃO|Cognitive Brain Research|A1|Atualizada em 2012
1866-9956|CIÊNCIA DA COMPUTAÇÃO|Cognitive Computation (Print)|B4|Atualizada em 2012
1815-2406|CIÊNCIA DA COMPUTAÇÃO|Communications in Computational Physics (Print)|A2|Atualizada em 2012
1865-0929|CIÊNCIA DA COMPUTAÇÃO|Communications in Computer and Information Science (Print)|B4|Atualizada em 2012
1069-8299|CIÊNCIA DA COMPUTAÇÃO|Communications in Numerical Methods in Engineering|B1|Atualizada em 2012
0361-0918|CIÊNCIA DA COMPUTAÇÃO|Communications in Statistics. Simulation and Computation|B4|Atualizada em 2012
1947-4822|CIÊNCIA DA COMPUTAÇÃO|Communications of Global Information Technology|B5|Atualizada em 2012
0001-0782|CIÊNCIA DA COMPUTAÇÃO|Communications of the ACM|A1|Atualizada em 2012
0332-1649|CIÊNCIA DA COMPUTAÇÃO|Compel (Bradford)|B3|Atualizada em 2012
1807-0302|CIÊNCIA DA COMPUTAÇÃO|Computational & Applied Mathematics|B4|Atualizada em 2012
1476-9271|CIÊNCIA DA COMPUTAÇÃO|Computational Biology and Chemistry (Print)|A2|Atualizada em 2012
1420-8954|CIÊNCIA DA COMPUTAÇÃO|Computational Complexity (Electronic ed.)|B2|Atualizada em 2012
0927-7099|CIÊNCIA DA COMPUTAÇÃO|Computational Economics|B3|Atualizada em 2012
0918-6654|CIÊNCIA DA COMPUTAÇÃO|Computational Fluid Dynamics Journal|B3|Atualizada em 2012
1420-0597|CIÊNCIA DA COMPUTAÇÃO|Computational Geosciences (Amsterdam)|B1|Atualizada em 2012
1467-8640|CIÊNCIA DA COMPUTAÇÃO|Computational Intelligence (Online)|B1|Atualizada em 2012
0891-2017|CIÊNCIA DA COMPUTAÇÃO|Computational Linguistics (Print)|A1|Atualizada em 2012
1530-9312|CIÊNCIA DA COMPUTAÇÃO|Computational Linguistics - Association For Computational Linguistics (Online)|A1|Atualizada em 2012
1619-697X|CIÊNCIA DA COMPUTAÇÃO|Computational Management Science (Print)|B2|Atualizada em 2012
0178-7675|CIÊNCIA DA COMPUTAÇÃO|Computational Mechanics|A2|Atualizada em 2012
1432-0924|CIÊNCIA DA COMPUTAÇÃO|Computational Mechanics (Berlin. Internet)|A2|Atualizada em 2012
0926-6003|CIÊNCIA DA COMPUTAÇÃO|Computational Optimization and Applications|A2|Atualizada em 2012
1573-2894|CIÊNCIA DA COMPUTAÇÃO|Computational Optimization and Applications (Dordrecht. Online)|A2|Atualizada em 2012
0167-9473|CIÊNCIA DA COMPUTAÇÃO|Computational Statistics & Data Analysis (Print)|A2|Atualizada em 2012
0943-4062|CIÊNCIA DA COMPUTAÇÃO|Computational Statistics (Zeitschrift)|B2|Atualizada em 2012
1613-9658|CIÊNCIA DA COMPUTAÇÃO|Computational Statistics (Zeitschrift. Internet)|B2|Atualizada em 2012
1558-0814|CIÊNCIA DA COMPUTAÇÃO|Computer (Long Beach, Calif. Online)|A2|Atualizada em 2012
0018-9162|CIÊNCIA DA COMPUTAÇÃO|Computer (Long Beach, Calif. Print)|A2|Atualizada em 2012
1879-2685|CIÊNCIA DA COMPUTAÇÃO|Computer Aided Design (Online)|B4|Atualizada em 2012
0167-8396|CIÊNCIA DA COMPUTAÇÃO|Computer Aided Geometric Design|A2|Atualizada em 2012
1546-4261|CIÊNCIA DA COMPUTAÇÃO|Computer Animation and Virtual Worlds (print)|B1|Atualizada em 2012
1061-3773|CIÊNCIA DA COMPUTAÇÃO|Computer Applications in Engineering Education|B3|Atualizada em 2012
0146-4833|CIÊNCIA DA COMPUTAÇÃO|Computer Communication Review|A1|Atualizada em 2012
0140-3664|CIÊNCIA DA COMPUTAÇÃO|Computer Communications|A2|Atualizada em 2012
1467-8659|CIÊNCIA DA COMPUTAÇÃO|Computer Graphics Forum (Online)|A2|Atualizada em 2012
0167-7055|CIÊNCIA DA COMPUTAÇÃO|Computer Graphics Forum (Print)|A2|Atualizada em 2012
0271-4159|CIÊNCIA DA COMPUTAÇÃO|Computer Graphics World|B3|Atualizada em 2012
1460-2067|CIÊNCIA DA COMPUTAÇÃO|Computer Journal (Online)|B1|Atualizada em 2012
0010-4620|CIÊNCIA DA COMPUTAÇÃO|Computer Journal (Print)|B1|Atualizada em 2012
1477-8424|CIÊNCIA DA COMPUTAÇÃO|Computer Languages, Systems & Structures|B3|Atualizada em 2012
