ISSN|area|titulo|estrato|anoBase
0952-1976|Ciência da Computação|Engineering Applications of Artificial Intelligence|B1|2008
0264-4401|Ciência da Computação|Engineering Computations|B2|2008
0177-0667|Ciência da Computação|Engineering with Computers|B2|2008
1435-5663|Ciência da Computação|Engineering with Computers (Internet)|B2|2008
1982-9485|Ciência da Computação|Ensaios Científicos|C|2008
0263-7758|Ciência da Computação|Environment and Planning. D, Society & Space (Print)|B2|2008
1364-8152|Ciência da Computação|Environmental Modelling & Software|A1|2008
1180-4009|Ciência da Computação|EnvironMetrics (London. Ont.)|B4|2008
1807-8575|Ciência da Computação|Espaço Energia|C|2008
0103-0876|Ciência da Computação|Estudos (UCGO. Impresso)|C|2008
1413-0580|Ciência da Computação|Estudos Sociedade e Agricultura (UFRJ)|C|2008

1687-6172|Ciência da Computação|EURASIP Journal on Advances in Signal Processing (Print)|B2|2008

1110-8657|Ciência da Computação|EURASIP Journal on Applied Signal Processing|B2|2008


1687-0433|Ciência da Computação|EURASIP Journal on Applied Signal Processing (Internet)|B2|2008
1687-6180||EURASIP Journal on Advances in Signal Processing (Online)|B2|2008

1687-4153|Ciência da Computação|EURASIP Journal on Bioinformatics and Systems Biology (Online)|B2|2008
1027-5207|Ciência da Computação|EURODL (Oslo)|C|2008
1095-9971|Ciência da Computação|European Journal of Combinatorics (Online)|B1|2008
0195-6698|Ciência da Computação|European Journal of Combinatorics (Print)|B1|2008
0947-3580|Ciência da Computação|European Journal of Control|B3|2008
1476-9344|Ciência da Computação|European Journal of Information Systems (Online)|B1|2008
0377-2217|Ciência da Computação|European Journal of Operational Research|A1|2008
1450-216X|Ciência da Computação|European Journal of Scientific Research|B4|2008
0295-5075|Ciência da Computação|Europhysics Letters (Print)|B2|2008
1063-6560|Ciência da Computação|Evolutionary Computation|A2|2008
1530-9304|Ciência da Computação|Evolutionary Computation (Online)|A2|2008
1864-5909|Ciência da Computação|Evolutionary Intelligence (Print)|B3|2008
1058-6458|Ciência da Computação|Experimental Mathematics|B2|2008
1468-0394|Ciência da Computação|Expert Systems (Online)|B2|2008
0266-4720|Ciência da Computação|Expert Systems (Print)|B2|2008
0957-4174|Ciência da Computação|Expert Systems with Applications|B1|2008
1809-936X|Ciência da Computação|Faz. Ciência & Tecnologia|C|2008
0378-1097|Ciência da Computação|FEMS Microbiology Letters|B2|2008
1808-0715|Ciência da Computação|Fonte (Belo Horizonte)|C|2008
0379-0738|Ciência da Computação|Forensic Science International|B2|2008
0934-5043|Ciência da Computação|Formal Aspects of Computing|B1|2008
1433-299X|Ciência da Computação|Formal Aspects of Computing (Internet)|B1|2008
0925-9856|Ciência da Computação|Formal Methods in System Design|B1|2008
1572-8102|Ciência da Computação|Formal Methods in System Design (Dordrecht. Online)|B1|2008
1615-3383|Ciência da Computação|Foundations of Computational Mathematics (Internet)|B1|2008
0169-2968|Ciência da Computação|Fundamenta Informaticae|B1|2008
0167-739X|Ciência da Computação|Future Generation Computer Systems|B1|2008
0165-0114|Ciência da Computação|Fuzzy Sets and Systems|A1|2008
0378-1119|Ciência da Computação|Gene (Amsterdam)|B2|2008
1389-2576|Ciência da Computação|Genetic Programming and Evolvable Machines (Print)|B2|2008
1415-4757|Ciência da Computação|Genetics and Molecular Biology (Impresso)|B4|2008
1676-5680|Ciência da Computação|Genetics and Molecular Research|B4|2008
1474-7596|Ciência da Computação|Genome Biology|B2|2008
1088-9051|Ciência da Computação|Genome Research|B2|2008
1384-6175|Ciência da Computação|Geoinformatica (Dordrecht)|B1|2008
1573-7624|Ciência da Computação|Geoinformatica (Dordrecht. Online)|B1|2008
0104-530X|Ciência da Computação|Gestão & Produção (UFSCAR. Impresso)|C|2008
1524-0703|Ciência da Computação|Graphical Models (Print)|B1|2008
0911-0119|Ciência da Computação|Graphs and Combinatorics|B2|2008
0017-8012|Ciência da Computação|Harvard Business Review|B2|2008
0103-1155|Ciência da Computação|Hífen (PUCRS. Impresso)|C|2008
1983-6511|Ciência da Computação|Hífen (Uruguaiana. Online)|C|2008
1808-3064|Ciência da Computação|Horizonte Científico (Uberlândia)|C|2008
1532-7051|Ciência da Computação|Human-Computer Interaction (Online)|A2|2008
1078-9669|Ciência da Computação|HVAC & R Research|B4|2008
0885-6087|Ciência da Computação|Hydrological Processes (Print)|B2|2008
0018-9340|Ciência da Computação|I.E.E.E. Transactions on Computers (Print)|A1|2008
0018-9383|Ciência da Computação|I.E.E.E. Transactions on Electron Devices|A1|2008
0018-8646|Ciência da Computação|IBM Journal of Research and Development|A1|2008
0018-8670|Ciência da Computação|IBM Systems Journal|A2|2008
1389-6911|Ciência da Computação|ICGA Journal|B2|2008

1350-2425|Ciência da Computação|IEE Proceedings. Communications|B2|2008
1751-8628||IET Communications (Print)|B2|2008

1359-7019|Ciência da Computação|IEE Proceedings. Communications (Online)|B2|2008
1359-7027|Ciência da Computação|IEE Proceedings. Computers And Digital Techniques (Online)|B1|2008
1751-861X||IET Computers & Digital Techniques (Online)|B1|2008

1350-2360|Ciência da Computação|IEE Proceedings. Generation, Transmission & Distribution|B1|2008
1751-8687|Ciência da Computação|IET Generation, Transmission & Distribution (Print)|B4|2008

1463-9831|Ciência da Computação|IEE Proceedings. Software (Online)|B1|2008
1751-8814||IET Software (Online)|B1|2008

1058-6180|Ciência da Computação|IEEE Annals of the History of Computing|B2|2008
1089-7798|Ciência da Computação|IEEE Communications Letters (Print)|A1|2008
0163-6804|Ciência da Computação|IEEE Communications Magazine (Print)|A1|2008
1553-877X|Ciência da Computação|IEEE Communications Surveys and Tutorials|B5|2008
0272-1716|Ciência da Computação|IEEE Computer Graphics and Applications|A2|2008
0740-7475|Ciência da Computação|IEEE Design & Test of Computers (Print)|A2|2008
1541-4922|Ciência da Computação|IEEE Distributed Systems Online|B2|2008
1932-4537|Ciência da Computação|IEEE eTransactions on Network and Service Management|B3|2008
1545-598X|Ciência da Computação|IEEE Geoscience and Remote Sensing Letters (Print)|B1|2008
1541-1672|Ciência da Computação|IEEE Intelligent Systems|A2|2008
1089-7801|Ciência da Computação|IEEE Internet Computing|A2|2008
1932-4553|Ciência da Computação|IEEE Journal of Selected Topics in Signal Processing|B2|2008
0733-8716|Ciência da Computação|IEEE Journal on Selected Areas in Communications (Print)|A1|2008
0272-1732|Ciência da Computação|IEEE Micro|A2|2008
1558-7908|Ciência da Computação|IEEE Multidisciplinary Engineering Education Magazine|B3|2008
1070-986X|Ciência da Computação|IEEE Multimedia|A2|2008
0890-8044|Ciência da Computação|IEEE Network|A1|2008
1536-1268|Ciência da Computação|IEEE Pervasive Computing|A1|2008
1540-7993|Ciência da Computação|IEEE Security & Privacy|B1|2008
1070-9908|Ciência da Computação|IEEE Signal Processing Letters|B2|2008
1053-5888|Ciência da Computação|IEEE Signal Processing Magazine (Print)|B2|2008
0740-7459|Ciência da Computação|IEEE Software|A2|2008
0018-9286|Ciência da Computação|IEEE Transactions on Automatic Control (Print)|A1|2008
0018-9294|Ciência da Computação|IEEE Transactions on Biomedical Engineering (Print)|A1|2008
0018-9316|Ciência da Computação|IEEE Transactions on Broadcasting|B1|2008
1051-8215|Ciência da Computação|IEEE Transactions on Circuits and Systems for Video Technology (Print)|A1|2008
1549-8328|Ciência da Computação|IEEE Transactions on Circuits and Systems. I, Regular Papers (Print)|B1|2008
0090-6778|Ciência da Computação|IEEE Transactions on Communications (Print)|A1|2008
0278-0070|Ciência da Computação|IEEE Transactions on Computer-Aided Design of Integrated Circuits and Systems|A2|2008
0098-3063|Ciência da Computação|IEEE Transactions on Consumer Electronics|B1|2008
1545-5971|Ciência da Computação|IEEE Transactions on Dependable and Secure Computing|B1|2008
0018-9359|Ciência da Computação|IEEE Transactions on Education|B1|2008
1089-778X|Ciência da Computação|IEEE Transactions on Evolutionary Computation|A1|2008
1063-6706|Ciência da Computação|IEEE Transactions on Fuzzy Systems|A1|2008
0196-2892|Ciência da Computação|IEEE Transactions on Geoscience and Remote Sensing|A1|2008
1057-7149|Ciência da Computação|IEEE Transactions on Image Processing|A1|2008
0278-0046|Ciência da Computação|IEEE Transactions on Industrial Electronics (1982. Print)|B2|2008
1551-3203|Ciência da Computação|IEEE Transactions on Industrial Informatics|B1|2008
1089-7771|Ciência da Computação|IEEE Transactions on Information Technology in Biomedicine|A2|2008
0018-9448|Ciência da Computação|IEEE Transactions on Information Theory|A1|2008
0018-9456|Ciência da Computação|IEEE Transactions on Instrumentation and Measurement|B2|2008
1041-4347|Ciência da Computação|IEEE Transactions on Knowledge and Data Engineering (Print)|A1|2008
0018-9464|Ciência da Computação|IEEE Transactions on Magnetics|B2|2008
0278-0062|Ciência da Computação|IEEE Transactions on Medical Imaging (Print)|A1|2008
1520-9210|Ciência da Computação|IEEE Transactions on Multimedia|A2|2008
1536-1241|Ciência da Computação|IEEE Transactions on Nanobioscience|B2|2008
1045-9227|Ciência da Computação|IEEE Transactions on Neural Networks|A1|2008
0018-9499|Ciência da Computação|IEEE Transactions on Nuclear Science|B2|2008
1045-9219|Ciência da Computação|IEEE Transactions on Parallel and Distributed Systems (Print)|A1|2008
0162-8828|Ciência da Computação|IEEE Transactions on Pattern Analysis and Machine Intelligence|A1|2008
0885-8977|Ciência da Computação|IEEE Transactions on Power Delivery|B2|2008
0885-8993|Ciência da Computação|IEEE Transactions on Power Electronics|B2|2008
