issn|area|titulo|estrato|classificacao
1814-232X|INTERDISCIPLINAR|African Journal of Marine Science|B1|Atualizada em 2012
0002-0206|INTERDISCIPLINAR|African Studies Review|A2|Atualizada em 2012
0874-2375|INTERDISCIPLINAR|Africana Studia|B4|Atualizada em 2012
0002-0591|INTERDISCIPLINAR|Afro-Ásia (UFBA. Impresso)|B1|Atualizada em 2012
1808-8554|INTERDISCIPLINAR|Agathos (Idaial)|B4|Atualizada em 2012
0161-9152|INTERDISCIPLINAR|Age|A1|Atualizada em 2012
1981-9862|INTERDISCIPLINAR|Agenda Social (UENF)|B3|Atualizada em 2012
0890-278X|INTERDISCIPLINAR|AGHE Exchange|C|Atualizada em 2012
1360-7863|INTERDISCIPLINAR|Aging & Mental Health|B1|Atualizada em 2012
1594-0667|INTERDISCIPLINAR|Aging Clinical and Experimental Research (Testo stampato)|B1|Atualizada em 2012
2177-8132|INTERDISCIPLINAR|AGIRÁS Revista AGIR de Ambiente e Sustentabilidades|C|Atualizada em 2012
1496-9580|INTERDISCIPLINAR|Agora (Edmonton)|B5|Atualizada em 2012
1414-0454|INTERDISCIPLINAR|Ágora (UNISC)|B3|Atualizada em 2012
1575-7668|INTERDISCIPLINAR|Ágora de Enfermería|C|Atualizada em 2012
1679-5385|INTERDISCIPLINAR|Ágora Filosófica (UNICAP. Impresso)|B4|Atualizada em 2012
1578-2174|INTERDISCIPLINAR|Ágora para la Educación Física y el Deporte|B4|Atualizada em 2012
1981-0997|INTERDISCIPLINAR|Agrária (Recife. Online)|B3|Atualizada em 2012
1808-1150|INTERDISCIPLINAR|Agrária (São Paulo. Online)|B2|Atualizada em 2012
1981-1160|INTERDISCIPLINAR|Agrária (UFRPE. Impresso)|B3|Atualizada em 2012
1516-134X|INTERDISCIPLINAR|Agricultura Biodinâmica|B4|Atualizada em 2012
0168-1923|INTERDISCIPLINAR|Agricultural and Forest Meteorology|A1|Atualizada em 2012
0169-5150|INTERDISCIPLINAR|Agricultural Economics|A2|Atualizada em 2012
0308-521X|INTERDISCIPLINAR|Agricultural Systems|A2|Atualizada em 2012
0378-3774|INTERDISCIPLINAR|Agricultural Water Management|A2|Atualizada em 2012
0167-8809|INTERDISCIPLINAR|Agriculture, Ecosystems & Environment|A1|Atualizada em 2012
1166-7699|INTERDISCIPLINAR|Agricultures (Montrouge) / Cahiers d'Études et de Recherches Francophones|B1|Atualizada em 2012
1982-8470|INTERDISCIPLINAR|Agro@mbiente On-line|B3|Atualizada em 2012
1316-0354|INTERDISCIPLINAR|Agroalimentaria (Caracas)|B1|Atualizada em 2012
0100-4298|INTERDISCIPLINAR|Agroanalysis (FGV)|B3|Atualizada em 2012
1510-0839|INTERDISCIPLINAR|Agrociencia (Montevideo)|B2|Atualizada em 2012
1022-7482|INTERDISCIPLINAR|Agroforestería en las Américas|B4|Atualizada em 2012
0167-4366|INTERDISCIPLINAR|Agroforestry Systems|B1|Atualizada em 2012
0002-1962|INTERDISCIPLINAR|Agronomy Journal|A2|Atualizada em 2012
0103-0779|INTERDISCIPLINAR|Agropecuária Catarinense|B4|Atualizada em 2012
