ISSN|Área|Titulo|Estrato|Ano Base
1534-0392|MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA|Communications on Pure and Applied Analysis|B2|2008
0010-3640|MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA|Communications on Pure and Applied Mathematics (Print)|A1|2008
0332-1649|MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA|Compel (Bradford)|B3|2008
1747-6941|MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA|Complex Variables and Elliptic Equations (Online)|B3|2008
1747-6933|MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA|Complex Variables and Elliptic Equations (Print)|B3|2008
0278-1077|MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA|Complex Variables, Theory & Application (Print)|B3|2008
0010-437X|MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA|Compositio Mathematica (Print)|A2|2008
0706-1994|MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA|Comptes Rendus Mathématiques de l'Académie des Sciences|B2|2008
1631-073X|MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA|Comptes Rendus. Mathématique|B2|2008
1807-0302|MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA|Computational & Applied Mathematics|B2|2008
0927-7099|MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA|Computational Economics|B4|2008
0925-7721|MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA|Computational Geometry|B1|2008
0965-5425|MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA|Computational Mathematics and Mathematical Physics|B5|2008
1609-4840|MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA|Computational Methods in Applied Mathematics|B3|2008
0926-6003|MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA|Computational Optimization and Applications|A2|2008
0167-9473|MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA|Computational Statistics & Data Analysis (Print)|A2|2008
0943-4062|MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA|Computational Statistics (Zeitschrift)|B3|2008
0167-8396|MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA|Computer Aided Geometric Design|A2|2008
1546-4261|MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA|Computer Animation and Virtual Worlds (print)|B2|2008
0167-7055|MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA|Computer Graphics Forum (Print)|A2|2008
0169-2607|MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA|Computer Methods and Programs in Biomedicine (Print)|B1|2008
0045-7825|MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA|Computer Methods in Applied Mechanics and Engineering|B1|2008
